OBV3DaySlope,OBV4DaySlope,OBV10DaySlope,AD3DaySlope,AD4DaySlope,SlowStochastic,SlowSto1DaySlope,SlowSto5DaySlope,14DayRSI,14DayRSI1DaySlope,VIXClose,VIX1DaySlope,VIX10DaySlope,VIXSlowStochastic,BuySell
-98680000,985287000,267513006.1,741259302.6,746931945.6,90.45302084,-3.488291182,-1.580685495,63.65736366,-1.717285567,10.44,0.12,-0.094,30.52325581,-1
-134560000,-566785000,83178103.03,1619501664,1549717834,94.87266438,-3.624552507,-0.085398228,63.29760933,-1.937820048,10.2,-0.04,-0.07369697,15.97444089,-1
-2278875000,-926665000,74708672.73,685930914.7,1132876994,90.98968185,-3.882982528,-1.435212747,62.08657056,-1.211038767,10.18,-0.02,-0.099757576,15.33546326,-1
-2265360000,-2336387000,27508684.85,-301099962.1,206908759.3,81.97915016,-9.010531689,-3.454948656,57.19367314,-4.892897422,10.58,0.4,-0.09430303,28.11501597,-1
-2701060000,-2463862000,-95403921.21,-815026852,-525246291.4,78.81952032,-3.159629844,-5.224890735,55.54075742,-1.652915718,11.15,0.57,-0.015454545,46.32587859,-1
2643525000,2752875000,409438193.9,484112966.8,478050562.4,37.24887479,4.292250083,3.795649371,44.10071826,1.917671119,13.99,-0.1,-0.421939352,40.05602241,-1
2686840000,935015000,12079206.06,1376235167,1017145039,75.3356344,1.42434213,5.552831528,59.33623745,0.476962933,13.16,0.21,-0.65206057,29.95670996,-1
40810000,1085658000,-7599478.788,698755888.2,705566189.6,66.22607595,-9.109558456,-1.014463618,54.94854133,-4.38769612,13.48,0.32,-0.498545485,32.72727273,-1
2832975000,2993146000,334833418.2,1140479644,374788211.7,98.70604344,2.662997969,2.216766533,69.27439062,1.072511506,13.29,0.51,-0.039757576,58.28025478,-1
-100260000,1091843000,419129563.6,610451245.3,682699566,90.98911791,-7.716925523,-0.998959832,62.67707335,-6.597317275,13.63,0.34,-0.01569697,69.10828025,-1
462895000,1462429000,241167000,-88145513.11,340328911.6,85.76773394,-2.783572402,11.78078863,57.69911056,-0.856823358,13.42,-0.52,-0.144666636,26.74650699,-1
196675000,891790000,389952806.1,293791625.3,337825496.2,89.25760038,3.489866436,5.488083346,58.62793292,0.928822356,12.85,-0.57,-0.323090867,15.36926148,-1
-206655000,-580706000,350587030.3,-750356590.4,-605893458.1,56.59247397,-32.6651264,-3.575793995,49.42727845,-9.200654468,14.67,1.82,-0.310121158,51.69660679,-1
-2855625000,-1143450000,29176060.61,-1378044847,-517030713.1,90.89510355,-0.209181627,5.057234476,61.37990127,-0.077019007,15.63,0.04,0.057696964,51.44927536,-1
-3308180000,-3096855000,-258962975.8,243535885,-337941318.7,86.43337414,-4.461729418,-3.188147905,59.66241865,-1.717482624,16,0.37,0.029333339,54.50381679,-1
-178885000,-1370395000,-423212090.9,1966182191,885652433.1,96.06794593,9.634571794,-0.52028735,62.12682198,2.464403332,15.23,-0.77,-0.016787861,42.7480916,-1
-247165000,-905920000,-453375806.1,-242067417.1,688174400.6,69.60393597,-26.46400995,-3.782785604,52.61767604,-9.509145946,16.950001,1.720001,-0.016727188,69.00764885,-1
-195020000,1905761000,603053466.7,-1467057062,-162335027.7,19.99840417,-34.54985674,6.277874746,41.27452576,-8.898500738,26.48,5.029999,0.101818176,97.06703911,-1
67610000,-630611000,306755757.6,209239726.3,331027760.2,51.91043609,-6.788965322,2.948738416,49.64230136,-3.376723294,22.719999,2,-1.077090994,35.26061761,-1
-112500000,1028643000,-69303939.39,-114879109.7,354143818.4,54.87859507,-9.244468733,2.635729862,51.12970638,-4.229921264,24.58,1.799999,0.207030358,43.10876266,-1
