OBV3DaySlope,OBV5DaySlope,OBV10DaySlope,AD3DaySlope,AD4DaySlope,AD10DaySlope,SlowSto1DaySlope,SlowSto5DaySlope,14DayRSI1DaySlope,14DayRSI3DaySlope,VIX1DaySlope,BuySell
-98680000,517137000,267513006.1,741259302.6,746931945.6,138661767.6,-3.488291182,-1.580685495,-1.717285567,-0.33069788,0.12,-1
-134560000,-41689000,83178103.03,1619501664,1549717834,150015065.4,-3.624552507,-0.085398228,-1.937820048,0.089764982,-0.04,-1
-2278875000,-950780000,74708672.73,685930914.7,1132876994,171817996.2,-3.882982528,-1.435212747,-1.211038767,-1.574429408,-0.02,-1
-2265360000,-1415743000,27508684.85,-301099962.1,206908759.3,150584850.7,-9.010531689,-3.454948656,-4.892897422,-3.051968095,0.4,-1
-2701060000,-2445046000,-95403921.21,-815026852,-525246291.4,64452136.37,-3.159629844,-5.224890735,-1.652915718,-3.27290657,0.57,-1
2643525000,1595900000,409438193.9,484112966.8,478050562.4,86411063.37,4.292250083,3.795649371,1.917671119,1.193382638,-0.1,-1
2686840000,1034601000,12079206.06,1376235167,1017145039,217841586,1.42434213,5.552831528,0.476962933,0.494679129,0.21,-1
40810000,451502000,-7599478.788,698755888.2,705566189.6,132507255.4,-9.109558456,-1.014463618,-4.38769612,-1.955366593,0.32,-1
2832975000,3022593000,334833418.2,1140479644,374788211.7,110491348.9,2.662997969,2.216766533,1.072511506,1.646628089,0.51,-1
-100260000,1779001000,419129563.6,610451245.3,682699566,208596895.6,-7.716925523,-0.998959832,-6.597317275,-2.762402884,0.34,-1
462895000,1985436000,241167000,-88145513.11,340328911.6,127264767,-2.783572402,11.78078863,-0.856823358,1.220107054,-0.52,-1
196675000,1415181000,389952806.1,293791625.3,337825496.2,181238776.5,3.489866436,5.488083346,0.928822356,0.035999499,-0.57,-1
-206655000,141831000,350587030.3,-750356590.4,-605893458.1,176716839.2,-32.6651264,-3.575793995,-9.200654468,-4.135916056,1.82,-1
-2855625000,125595000,29176060.61,-1378044847,-517030713.1,-5125626.341,-0.209181627,5.057234476,-0.077019007,-0.766535636,0.04,-1
-3308180000,-1874995000,-258962975.8,243535885,-337941318.7,-103078165.3,-4.461729418,-3.188147905,-1.717482624,-0.897250815,0.37,-1
-178885000,-1875440000,-423212090.9,1966182191,885652433.1,-111958921.7,9.634571794,-0.52028735,2.464403332,0.373460354,-0.77,-1
-247165000,-1457915000,-453375806.1,-242067417.1,688174400.6,-76690327.41,-26.46400995,-3.782785604,-9.509145946,-3.522371307,1.720001,-1
-195020000,2958205000,603053466.7,-1467057062,-162335027.7,374602302.9,-34.54985674,6.277874746,-8.898500738,-1.873683706,5.029999,-1
67610000,17691000,306755757.6,209239726.3,331027760.2,426448301.5,-6.788965322,2.948738416,-3.376723294,0.485462118,2,-1
-112500000,534551000,-69303939.39,-114879109.7,354143818.4,-137743878.4,-9.244468733,2.635729862,-4.229921264,-0.455663845,1.799999,-1
-56360000,242271000,28387751.52,2062579571,1497413897,9473245.839,-1.457753612,0.610067131,-1.327545315,0.892000973,0.549999,-1
