OBV3DaySlope,OBV4DaySlope,OBV5DaySlope,AD3DaySlope,AD4DaySlope,AD5DaySlope,SlowSto1DaySlope,VIXClose,VIX1DaySlope,VIX1DayPercentSlope,BuySell
-98680000,985287000,517137000,741259302.6,746931945.6,664848637.2,-3.488291182,10.44,0.12,1.162790698,-1
-134560000,-566785000,-41689000,1619501664,1549717834,1482224943,-3.624552507,10.2,-0.04,-0.390625,-1
-2278875000,-926665000,-950780000,685930914.7,1132876994,1248562664,-3.882982528,10.18,-0.02,-0.196078431,-1
-2265360000,-2336387000,-1415743000,-301099962.1,206908759.3,664546863.9,-9.010531689,10.58,0.4,3.929273084,-1
-2701060000,-2463862000,-2445046000,-815026852,-525246291.4,-111858367.4,-3.159629844,11.15,0.57,5.387523629,-1
2643525000,2752875000,1595900000,484112966.8,478050562.4,-88188428.84,4.292250083,13.99,-0.1,-0.709723208,-1
2686840000,935015000,1034601000,1376235167,1017145039,1254735584,1.42434213,13.16,0.21,1.621621622,-1
40810000,1085658000,451502000,698755888.2,705566189.6,689729096.8,-9.109558456,13.48,0.32,2.431610942,-1
2832975000,2993146000,3022593000,1140479644,374788211.7,742734282.9,2.662997969,13.29,0.51,3.990610329,-1
-100260000,1091843000,1779001000,610451245.3,682699566,324831970.6,-7.716925523,13.63,0.34,2.558314522,-1
462895000,1462429000,1985436000,-88145513.11,340328911.6,971946583.5,-2.783572402,13.42,-0.52,-3.730272597,-1
196675000,891790000,1415181000,293791625.3,337825496.2,481484776.2,3.489866436,12.85,-0.57,-4.247391952,-1
-206655000,-580706000,141831000,-750356590.4,-605893458.1,-276642516.3,-32.6651264,14.67,1.82,14.16342412,-1
-2855625000,-1143450000,125595000,-1378044847,-517030713.1,445970016.2,-0.209181627,15.63,0.04,0.256574727,-1
-3308180000,-3096855000,-1874995000,243535885,-337941318.7,-110633072.2,-4.461729418,16,0.37,2.367242482,-1
-178885000,-1370395000,-1875440000,1966182191,885652433.1,283962114.6,9.634571794,15.23,-0.77,-4.8125,-1
-247165000,-905920000,-1457915000,-242067417.1,688174400.6,393823825.4,-26.46400995,16.950001,1.720001,11.29350624,-1
-195020000,1905761000,2958205000,-1467057062,-162335027.7,1144516385,-34.54985674,26.48,5.029999,23.44987769,-1
67610000,-630611000,17691000,209239726.3,331027760.2,892353443.5,-6.788965322,22.719999,2,9.652510118,-1
-112500000,1028643000,534551000,-114879109.7,354143818.4,244814049.4,-9.244468733,24.58,1.799999,7.901663393,-1
-56360000,-352807000,242271000,2062579571,1497413897,1389559309,-1.457753612,16.67,0.549999,3.411904255,-1
-3478010000,-1511670000,-1224198000,-310975431.8,802740982,845910062.1,-11.63865252,18.879999,2.209999,13.25734253,-1
-561285000,-1641325000,-942660000,79145931.66,233513974,794495114.6,3.335027834,17.73,-1.149999,-6.091096721,-1
-144200000,-654969000,-1233000,-523246130.9,-709721526.6,-539862958.6,-29.92696334,23.209999,4.679998,25.25632891,-1
-237000000,-900083000,4515000,-263920942.1,406410947.8,1025394715,-43.00061896,26.49,5.100001,23.84292304,-1
-584210000,-1012663000,-182107000,-947212593.3,-853083613.7,12491598.21,-26.12159288,23.59,2.85,13.7415622,-1
-177635000,474695000,1411940000,-351721422.5,256709120.1,1152439251,-12.19746866,20.26,1.6,8.57449089,-1
577495000,2302661000,1238610000,690369806.2,1933531023,1011776430,-5.75895548,25.99,1.97,8.201498751,-1
95680000,1626919000,2322315000,981801425.3,1742891955,2198676400,0.458403347,22.690001,0.790001,3.607310502,-1
-3921640000,-1514636000,42962000,-818295400.6,112438051.6,909619529.6,-2.237704677,23.530001,0.84,3.702071234,-1
4322060000,4886702000,2950580000,1679806997,2880659313,1472987914,2.236754966,25.719999,-0.010001,-0.038869024,-1
44725000,1791047000,3011146000,96093558.17,693344067.8,1822733255,-8.529906205,26.08,0.360001,1.3996929,-1
72640000,1529292000,2298784000,-1072752619,-1050177188,-638003986.2,-5.328867803,22.360001,-0.059999,-0.267613738,-1
3763280000,3793171000,3836389000,911647074.7,1941703541,1293019022,-10.26450128,17.01,0.540001,3.278694795,-1
-85175000,1470069000,2254400000,-1700639953,-132514996.1,902243338.4,-10.38216131,17.58,0.57,3.350970018,-1
178010000,2103580000,1004102000,-675312562.3,1098990952,340618761.7,-3.351628618,21.17,1.049999,5.218682643,-1
283080000,1605159000,2266057000,303000503.8,1143194607,1322535683,-15.83717936,20.65,1.22,6.278950077,-1
-4035840000,-1594032000,-86942000,-3181434954,-1077404872,-57140344.09,-4.657968356,21.99,1.34,6.489104116,-1
-449310000,-2980118000,-4254056000,2205403615,2787372417,1003219325,-1.152742728,55.130001,0.139999,0.254589916,-1
52325000,-763160000,505245000,87202342.18,407640984.9,664357998.5,-12.45649843,54.560001,6.830001,14.30966059,-1
-1655575000,1018719000,2740374000,-1614240031,1043155140,1810403927,-20.87997784,68.510002,13.230003,23.93271208,-1
51200000,-863019000,318659000,2031556840,1489280477,2012507537,-3.287181631,49.84,-2.529999,-4.831008303,-1
-5791190000,-2262518000,-2100758000,-2279651724,157987432.5,420992992.7,-7.182241254,47.34,-2.5,-5.016051364,-1
-682820000,1247017000,2109141000,1489416162,1626086523,2019853392,-1.869729324,39.080002,-0.109997,-0.2806762,-1
-10645000,666703000,1503420000,-480969248.2,684852830.1,1044154182,3.437159378,38.560001,-0.520001,-1.33060638,-1
343840000,-878607000,-137721000,-1831056252,-1274612283,-232849885.6,-10.16239363,43.389999,4.829998,12.5259281,-1
143305000,1233275000,121832000,844041445,27610599.44,-220982371.6,1.518491677,42.560001,-0.829998,-1.912878588,-1
137525000,-829812000,221207000,442688090.5,-185398340.1,-386538975.4,-9.554803631,42.82,0.259999,0.610899892,-1
-4720775000,-1806650000,-1803483000,-3237246354,-896374133.1,-868744345.6,-9.904831809,45.84,3.02,7.052779075,-1
421205000,-1634732000,-720663000,-443817600.3,-1694100656,-647901074.8,0.75431067,43.27,-2.57,-5.606457243,-1
79790000,-812895000,-1772153000,-847548020,-1111830049,-1722681270,-14.38149649,49.139999,5.869999,13.56597874,-1
-597900000,2143927000,3588313000,-2107654479,480593068.1,1820493864,-30.61988225,46.669998,3.029999,6.94316927,-1
-421855000,742181000,2123372000,-1463066064,-1039010799,330273006.1,4.715168446,44.529999,-2.139999,-4.585384812,-1
6201460000,2282471000,2157053000,4465226429,1283101117,650415567,1.039062791,41.25,-3.279999,-7.365818715,-1
589905000,2779527000,1307512000,1128557387,2088374820,759241815,-5.983501052,42.93,1.68,4.072727273,-1
-5602235000,-1948068000,357671000,-4995091288,-1503447825,13765533.81,-16.15194621,48.66,5.73,13.34730957,-1
-5824265000,-5674336000,-3214191000,-2910145265,-3561577931,-1711653409,4.889236832,48.459999,-0.200001,-0.411017263,-1
-5743825000,-5792712000,-5703277000,-2295568688,-3140934266,-3498293043,-3.744306004,47.080002,-1.379997,-2.847703319,-1
-6978765000,-6484166000,-6269977000,-1136640991,-1123592438,-2077828240,7.188397231,49.299999,2.219997,4.715371507,-1
-7359945000,-6961108000,-6637261000,-1875828070,-2288558410,-1895886902,-7.856843003,52.619999,3.32,6.734280055,-1
